Summary,Priority,Summary_Length
crash on checkout by Bitbucket,Low,30
not saving remote login data,Low,28
Affected versions for SourceTree for Windows are not up-to-date in Jira,Low,71
Auto Update/Check For Updates updates only after many weeks/months,Low,66
Repository does not get deleted as per selected in Local Repositories after filtering,Low,85
Finish Feature loosing Feature Name,Low,35
Remote connection problem,Low,25
Sourcetree for windows DOES NOT WORK for ALL VERSIONS after 3.1.3 with gerrit repositories.,Low,91
Language change from default results in sourcetree not updating automatically,Low,77
Discard Lines bar is not sticky anymore,Low,39
cannt commit,Low,12
Adding extra characters after commit,Low,36
Not a valid Source path/URL,Low,27
Sourcetree Log keeps complaining,Low,32
SourceTree doesn't refresh automatically ,Low,41
Installation does not create Start Menu shortcuts,Low,49
"""Open in Terminal"" button not working anymore",Low,45
"Syntax highlighting is applied to ""No newline at end of file"" notice",Low,68
First tab never refresh,Low,23
Error pushing new branches,Low,26
.gitignore включает основные файлы проекта в игнорируемые,Low,57
Staged files are appeared only after click Refresh (F5),Low,55
Sourcetree Windows 3.3.7 - staging / committing files is bugged,Low,63
Branches are not displayed when sending.,Low,40
Source tree will not refresh,Low,28
Custom actions no longer work v3.3.8,Low,36
"Sourcetree created gigabytes of temp files while staging, committing",Low,68
Unable to clone GIT Repository,Low,30
Terminal no longer opens,Low,24
Stage selected button doesnt works,Low,34
Sourcetree for windows DOES NOT WORK for ALL VERSIONS after 3.1.3 with gerrit repositories.,Low,91
Tabs are not refreshed automatically,Low,36
[Regression] Source tree 3.3.6 does not open up repository if a repository with same name is already open in a tab,Low,114
Some Bug in v3.3.7,Low,18
file status is not refreshing,Low,29
Auto Refresh no longer working in 3.3.7,Low,39
Link to latest Windows version is broken on Atlassian site,Low,58
Auto refreshing no longer works,Low,31
Auto Refresh stopped working,Low,28
When I stage files the windowd does not get updated,Low,51
"Калькулятор: перевірка робти, сарго.",Low,36
"Калькулятор: перевірка робти, соя.",Low,34
"Калькулятор: перевірка робти термінал ""Миколаїв"" Кукурудза",Low,58
"Калькулятор: перевірка робти термінал ""Миколаїв"" Пшениця 4 клас",Low,63
Калькулятор скидок: невірні дані при розрахунку пшениці 4 клас.,Low,63
User interface doesn't respond,Low,30
"Калькулятор: перевірка робти термінал ""Миколаїв"" Пшениця 3 клас",Low,63
test for ,Low,9
Upgrade to 3.3.6 has major problems,Low,35
git log failed with code -1: Access is denied,Low,45
Warning on remote icon,Low,22
"Sourcetree version 3.3.6 (latest) - cannot update branches, stage files etc until force refresh",Low,95
Didcount calculator unclear error message when entering letters into index field,Low,80
Failure to update display after operations,Low,42
UI Refresh Broken in 3.3.6,Low,26
Facing issues with Windows 10 ,Low,30
file status screen doesn't automatically updated after update 3.3.7,Low,67
Azure Devops Account don't respect full url,Low,43
cannot update my sourcetree 3.2.6,Low,33
Staging and unstaging files no longer updates the views.,Low,56
UI not responding in 3.3.6,Low,26
First tab custom name reverts to default after closing Sourcetree,Low,65
Sourcetree history does not update and UI does not update after you Stage files or do a commit on a second monitor,Low,114
Main Sourcetree window doesn't update automatically,Low,51
Sourcetree doesn't automatically refresh screen,Low,47
---,Low,3
Refresh not working at all (AFAICT),Low,35
Issues with Sourcetree and Applocker,Low,36
Staging or discarding lines,Low,27
UI is not updated automatically v3.3.6,Low,38
Sourcetree (Win 3.3.6) Cannot Open Terminal,Low,43
UI Refresh,Low,10
Automatic Refresh Seems Broken,Low,30
Sourcetree (Win Ver 3.3.6) does not update its display after performing an action,Low,81
SourceTree unusuable after updating to latest ver (I'm on 3.3.6),Low,64
Very high CPU usage on entering a commit message,Low,48
Sourcetree file status is not refreshing,Low,40
Latest version does not detect changes in files,Low,47
Terminal Is Not Opened,Low,22
SourceTree 3.3.6 Does Not Authenticate,Low,38
uninstall windows version doesn't uninstall the code in /Users/../AppData/Local,Low,79
Views don't update after an action.,Low,35
Stage/Unstage failing to move files,Low,35
SourceTree User Interface does not refresh automatically in a fresh Win 10 install ,Low,83
"After updating to 3.3.6, file status windows do not update after any action taken",Low,81
Cannot install SourceTree on windows 10,Low,39
SourceTree W10 not refreshing GUI on any action,Low,47
Sourcetree cache images moved to recycle bin rather than deleted permanently ,Low,77
Can't use SourceTree or fully log in,Low,36
Hunk section header color,Low,25
Sourcetree did not start with the last Windows update 2019-KB4533002,Low,68
UI is showing out of date state,Low,31
"No Auto Refresh, Only manual refresh ",Low,37
installation and registration issue,Low,35
Sourcetree forgets the account type for a repository,Low,52
DigiCert Certificate Expired,Low,28
"Icon on Windows 7 isn't right, nor is shortcut",Low,46
Operations require manual refresh (F5) to show updates in commit/branch panels,Low,78
Can no longer stage changes from working directory during Create Patch,Low,70
View not refreshing,Low,19
Missing OAUTH scope,Low,19
 incorrect recording when rotating the screen,Low,45
"""Укрзалізниця"" application: language issue",Low,42
Укрзалізниця mobile application: ability to choose a month on 'Напрямок' tab disappears when trying to chose previous mounth,Low,124
Automatic Refresh on File Change is Not Working,Low,47
Upload to confluence is broken!,Low,31
Focus is lost on dialog buttons ,Low,32
SourceTree hangs on pull or fetch,Low,33
Sourcetree crashes if local git settings are invalid,Low,52
Update Embedded is not downloading the latest Git For Windows release,Low,69
" download the application ""UKRzalіznitsya""",Low,42
"App for Ios ""Железнодорожные билеты"": Empty Cart after canceling payment",Low,72
"App for Ios ""Железнодорожные билеты"": Empty Cart after canceling payment",Low,72
Mercurial HG doesn't work anymore with version 3.3.6,Low,52
"App for Ios ""Железнодорожные билеты"": Empty Cart after canceling payment",Low,72
"Issue while install process, logging with Bitbucket account",Low,59
AskPass error dialog (0xc0000142) keeps popping up over other apps,Low,66
Feature can't be closed from git-flow,Low,37
SourceTree does not open,Low,24
"Source Tree External difference comparison, no response。",Low,56
How to set the font and font size of the submitted text box? Chinese fonts look uncomfortable,Low,93
Application slows down and eventually crashes when not shut down for a couple of days,Low,85
Custom Actions is not working when set parameter multiple,Low,57
Terminal button (and menu) fails to open Git Bash,Low,49
Commit text Links are reset when opening SourceTree,Low,51
Sourcetree crashes when using URL Action,Low,40
SourceTree often converts repository remote from BitBucket to Generic,Low,69
SourceTree forgets my bitbucket authentication,Low,46
Sourcetree Install and Registration windows does not advance to next screen,Low,75
Unable to push to github org account from sourcetree,Low,52
Unable to update the source tree version,Low,40
Permanently loosing repository configuration ,Low,45
SourceTree installer fails in Windows 10 as signing certificate has expired (and corporate policy requires valid certificate),Low,125
Empty local branch name when pushing new branch,Low,47
Error when using check for version functionality from the optons  menu,Low,70
unable to use sourcetree to upload local programming into bitbucket,Low,67
Remote Account Type Reverting to Unknown,Low,40
Application isnt showing changes in dark mode.,Low,46
Code signing timestamp is missing from SourceTree v3.2.6,Low,56
100% load on one core when typing commit message,Low,48
SourceTree installation,Low,23
Push dialog empty,Low,17
Provide Re-Authentication window when push return access denied. ,Low,65
Cannot select multiple branches,Low,31
Crash when attempting to initiate Gitlab-EE pull request,Low,56
"Endless ""Loading x commits to reach commit y"" when filter is on",Low,63
Auto Refresh doesn't work when files are changing (Version:  3.3.6.3829),Low,72
Cannot open local repo when repo is a submodule open in another tab,Low,67
"After click menu item ""Copy Path To Clipboard"" app hangs on several seconds",Low,75
"trusted_tester , Bug UI",Low,23
Commit text links are lost when closing and reopening app,Low,57
"Application Crash When Using ""Checkout In SourceTree"" from BitBucket Server",Low,75
Selecting of train direction: black rectangle after confirming empty field in destination search,Low,96
SourceTree not showing Bitbucket repositories,Low,45
Bug found in sourcetree 3.2.6,Low,29
"Lack ""go back"" button in ""Return tickets"" form",Low,46
All Branches / Current Branch Dropdown doesn't remember choice,Low,62
Always update repository github address when launch sourcetree,Low,62
Ошибка данных 2,Low,15
Ошибка при вводе данных,Low,23
Калькулятор скидки: Не верный рассчет,Low,37
Калькулятор скидки: не правильный расчет.,Low,41
Taskbar not accessible when SourceTree is in full screen,Low,56
Remote (Host Root URL) is not being saved and displays error,Low,60
Text cursor disappears in commit message text area,Low,50
ver 3.3.4  Can not Push new Branch unless I check/uncheck/check again the Branch to get the Remote name filled,Low,110
WTF ??? Not display branches,Low,28
test,Low,4
Not able to login in IE 11 version on id.atlassian.com,Low,54
Unable to add Azure DevOps Remote Account using SourceTree 3.1.3 ,Highest,65
